Time,Oxygen Level,Pulse Rate,Motion
07:29:37 PM May 01 2023,92,59,7
07:29:41 PM May 01 2023,92,62,0
07:29:45 PM May 01 2023,93,62,0
07:29:49 PM May 01 2023,93,60,0
07:29:53 PM May 01 2023,94,59,0
07:29:57 PM May 01 2023,94,58,0
07:30:01 PM May 01 2023,94,58,0
07:30:05 PM May 01 2023,94,58,0
07:30:09 PM May 01 2023,94,57,0
07:30:13 PM May 01 2023,94,57,0
07:30:17 PM May 01 2023,95,57,5
07:30:21 PM May 01 2023,96,58,0
07:30:25 PM May 01 2023,95,60,0
07:30:29 PM May 01 2023,93,60,0
07:30:33 PM May 01 2023,93,59,0
07:30:37 PM May 01 2023,93,58,0
07:30:41 PM May 01 2023,93,57,0
07:30:45 PM May 01 2023,93,57,0
07:30:49 PM May 01 2023,93,58,0
07:30:53 PM May 01 2023,93,60,12
07:30:57 PM May 01 2023,94,58,0
07:31:01 PM May 01 2023,94,59,15
07:31:05 PM May 01 2023,94,59,0
07:31:09 PM May 01 2023,94,61,0
07:31:13 PM May 01 2023,94,65,0
07:31:17 PM May 01 2023,93,64,0
07:31:21 PM May 01 2023,93,59,0
07:31:25 PM May 01 2023,93,59,0
07:31:29 PM May 01 2023,93,62,0
07:31:33 PM May 01 2023,94,62,7
07:31:37 PM May 01 2023,94,62,6
07:31:41 PM May 01 2023,94,62,0
07:31:45 PM May 01 2023,93,61,0
07:31:49 PM May 01 2023,93,58,1
07:31:53 PM May 01 2023,93,59,0
07:31:57 PM May 01 2023,93,59,0
07:32:01 PM May 01 2023,93,58,0
07:32:05 PM May 01 2023,93,57,1
07:32:09 PM May 01 2023,93,57,14
07:32:13 PM May 01 2023,93,57,13
07:32:17 PM May 01 2023,93,60,0
07:32:21 PM May 01 2023,93,63,0
07:32:25 PM May 01 2023,94,64,0
07:32:29 PM May 01 2023,95,62,0
07:32:33 PM May 01 2023,96,62,1
07:32:37 PM May 01 2023,95,62,0
07:32:41 PM May 01 2023,94,61,0
07:32:45 PM May 01 2023,95,61,0
07:32:49 PM May 01 2023,95,60,0
07:32:53 PM May 01 2023,95,60,1
07:32:57 PM May 01 2023,95,60,0
07:33:01 PM May 01 2023,95,59,0
07:33:05 PM May 01 2023,95,59,0
07:33:09 PM May 01 2023,95,60,12
07:33:13 PM May 01 2023,95,62,18
07:33:17 PM May 01 2023,95,64,0
07:33:21 PM May 01 2023,94,63,0
07:33:25 PM May 01 2023,93,62,0
07:33:29 PM May 01 2023,93,61,0
07:33:33 PM May 01 2023,93,62,0
07:33:37 PM May 01 2023,93,62,0
07:33:41 PM May 01 2023,93,61,1
07:33:45 PM May 01 2023,93,64,10
07:33:49 PM May 01 2023,94,65,9
07:33:53 PM May 01 2023,94,64,8
07:33:57 PM May 01 2023,94,62,2
07:34:01 PM May 01 2023,94,61,0
07:34:05 PM May 01 2023,93,60,0
07:34:09 PM May 01 2023,94,59,0
07:34:13 PM May 01 2023,95,59,0
07:34:17 PM May 01 2023,95,58,2
07:34:21 PM May 01 2023,95,58,1
07:34:25 PM May 01 2023,95,56,1
07:34:29 PM May 01 2023,95,58,8
07:34:33 PM May 01 2023,95,59,0
07:34:37 PM May 01 2023,94,61,0
07:34:41 PM May 01 2023,95,62,2
07:34:45 PM May 01 2023,95,62,0
07:34:49 PM May 01 2023,94,61,3
07:34:53 PM May 01 2023,95,61,2
07:34:57 PM May 01 2023,94,62,1
07:35:01 PM May 01 2023,93,61,0
07:35:05 PM May 01 2023,93,61,0
07:35:09 PM May 01 2023,93,61,0
07:35:13 PM May 01 2023,93,60,0
07:35:17 PM May 01 2023,93,60,0
07:35:21 PM May 01 2023,93,58,0
07:35:25 PM May 01 2023,94,57,0
07:35:29 PM May 01 2023,94,57,0
07:35:33 PM May 01 2023,95,57,0
07:35:37 PM May 01 2023,95,57,0
07:35:41 PM May 01 2023,94,58,0
07:35:45 PM May 01 2023,94,59,0
07:35:49 PM May 01 2023,94,60,0
07:35:53 PM May 01 2023,93,61,0
07:35:57 PM May 01 2023,93,62,0
07:36:01 PM May 01 2023,93,61,0
07:36:05 PM May 01 2023,93,61,0
07:36:09 PM May 01 2023,92,60,0
07:36:13 PM May 01 2023,92,60,0
07:36:17 PM May 01 2023,92,60,0
07:36:21 PM May 01 2023,92,60,0
07:36:25 PM May 01 2023,92,60,0
07:36:29 PM May 01 2023,92,60,3
07:36:33 PM May 01 2023,92,60,0
07:36:37 PM May 01 2023,93,60,0
07:36:41 PM May 01 2023,92,60,0
07:36:45 PM May 01 2023,93,60,0
07:36:49 PM May 01 2023,93,60,0
07:36:53 PM May 01 2023,93,59,0
07:36:57 PM May 01 2023,93,58,0
07:37:01 PM May 01 2023,93,57,0
07:37:05 PM May 01 2023,93,57,0
07:37:09 PM May 01 2023,94,57,0
07:37:13 PM May 01 2023,94,57,0
07:37:17 PM May 01 2023,94,58,0
07:37:21 PM May 01 2023,94,58,0
07:37:25 PM May 01 2023,94,59,0
07:37:29 PM May 01 2023,94,60,0
07:37:33 PM May 01 2023,93,60,0
07:37:37 PM May 01 2023,92,61,0
07:37:41 PM May 01 2023,92,61,0
07:37:45 PM May 01 2023,92,61,0
07:37:49 PM May 01 2023,92,61,0
07:37:53 PM May 01 2023,92,61,0
07:37:57 PM May 01 2023,92,61,2
07:38:01 PM May 01 2023,92,61,0
07:38:05 PM May 01 2023,92,60,0
07:38:09 PM May 01 2023,92,60,0
07:38:13 PM May 01 2023,92,60,0
07:38:17 PM May 01 2023,92,59,0
07:38:21 PM May 01 2023,93,58,0
07:38:25 PM May 01 2023,93,58,0
07:38:29 PM May 01 2023,93,56,0
07:38:33 PM May 01 2023,94,56,0
07:38:37 PM May 01 2023,94,57,0
07:38:41 PM May 01 2023,94,58,0
07:38:45 PM May 01 2023,94,59,0
07:38:49 PM May 01 2023,93,60,0
07:38:53 PM May 01 2023,93,61,0
07:38:57 PM May 01 2023,93,61,0
07:39:01 PM May 01 2023,92,61,2
07:39:05 PM May 01 2023,92,62,2
07:39:09 PM May 01 2023,91,61,0
07:39:13 PM May 01 2023,91,61,1
07:39:17 PM May 01 2023,92,62,0
07:39:21 PM May 01 2023,92,60,0
07:39:25 PM May 01 2023,92,60,1
07:39:29 PM May 01 2023,92,60,0
07:39:33 PM May 01 2023,93,59,0
07:39:37 PM May 01 2023,93,59,1
07:39:41 PM May 01 2023,94,58,0
07:39:45 PM May 01 2023,94,58,0
07:39:49 PM May 01 2023,94,60,0
07:39:53 PM May 01 2023,94,60,1
07:39:57 PM May 01 2023,94,60,0
07:40:01 PM May 01 2023,94,60,1
07:40:05 PM May 01 2023,95,60,2
07:40:09 PM May 01 2023,95,62,0
07:40:13 PM May 01 2023,94,62,0
07:40:17 PM May 01 2023,94,59,0
07:40:21 PM May 01 2023,94,59,0
07:40:25 PM May 01 2023,94,59,0
07:40:29 PM May 01 2023,94,59,7
07:40:33 PM May 01 2023,94,59,72
07:40:37 PM May 01 2023,94,59,123
07:40:41 PM May 01 2023,94,59,22
07:40:45 PM May 01 2023,94,59,6
07:40:49 PM May 01 2023,94,60,0
07:40:53 PM May 01 2023,94,60,0
07:40:57 PM May 01 2023,94,60,0
07:41:01 PM May 01 2023,94,60,0
07:41:05 PM May 01 2023,94,60,0
07:41:09 PM May 01 2023,94,60,0
07:41:13 PM May 01 2023,94,59,0
07:41:17 PM May 01 2023,94,58,1
07:41:21 PM May 01 2023,94,59,0
07:41:25 PM May 01 2023,94,59,0
07:41:29 PM May 01 2023,93,60,0
07:41:33 PM May 01 2023,94,56,4
07:41:37 PM May 01 2023,94,56,0
07:41:41 PM May 01 2023,94,58,1
07:41:45 PM May 01 2023,94,58,0
07:41:49 PM May 01 2023,94,58,0
07:41:53 PM May 01 2023,95,58,0
07:41:57 PM May 01 2023,95,58,0
07:42:01 PM May 01 2023,95,59,16
07:42:05 PM May 01 2023,94,60,5
07:42:09 PM May 01 2023,94,60,4
07:42:13 PM May 01 2023,93,60,25
07:42:17 PM May 01 2023,93,60,3
07:42:21 PM May 01 2023,92,62,0
07:42:25 PM May 01 2023,92,62,0
07:42:29 PM May 01 2023,92,64,8
07:42:33 PM May 01 2023,91,63,0
07:42:37 PM May 01 2023,91,60,0
07:42:41 PM May 01 2023,92,60,0
07:42:45 PM May 01 2023,92,60,0
07:42:49 PM May 01 2023,93,58,0
07:42:53 PM May 01 2023,94,57,12
07:42:57 PM May 01 2023,94,57,17
07:43:01 PM May 01 2023,94,57,7
07:43:05 PM May 01 2023,95,58,0
07:43:09 PM May 01 2023,95,59,0
07:43:13 PM May 01 2023,95,60,0
07:43:17 PM May 01 2023,94,60,0
07:43:21 PM May 01 2023,94,59,1
07:43:25 PM May 01 2023,94,58,0
07:43:29 PM May 01 2023,94,58,0
07:43:33 PM May 01 2023,94,58,0
07:43:37 PM May 01 2023,94,57,0
07:43:41 PM May 01 2023,94,59,0
07:43:45 PM May 01 2023,94,60,0
07:43:49 PM May 01 2023,93,60,0
07:43:53 PM May 01 2023,93,60,0
07:43:57 PM May 01 2023,92,59,0
07:44:01 PM May 01 2023,92,60,1
07:44:05 PM May 01 2023,92,63,2
07:44:09 PM May 01 2023,91,63,0
07:44:13 PM May 01 2023,92,60,0
07:44:17 PM May 01 2023,91,61,8
07:44:21 PM May 01 2023,92,61,0
07:44:25 PM May 01 2023,92,62,0
07:44:29 PM May 01 2023,93,61,0
07:44:33 PM May 01 2023,93,60,0
07:44:37 PM May 01 2023,93,59,0
07:44:41 PM May 01 2023,93,59,0
07:44:45 PM May 01 2023,93,59,33
07:44:49 PM May 01 2023,93,59,6
07:44:53 PM May 01 2023,93,60,4
07:44:57 PM May 01 2023,94,60,0
