Time,Oxygen Level,Pulse Rate,Motion
12:56:49 AM Jun 08 2023,98,67,0
12:56:53 AM Jun 08 2023,98,66,0
12:56:57 AM Jun 08 2023,98,66,0
12:57:01 AM Jun 08 2023,98,67,0
12:57:05 AM Jun 08 2023,98,66,0
12:57:09 AM Jun 08 2023,98,65,0
12:57:13 AM Jun 08 2023,97,66,0
12:57:17 AM Jun 08 2023,98,65,0
12:57:21 AM Jun 08 2023,98,65,0
12:57:25 AM Jun 08 2023,98,65,0
12:57:29 AM Jun 08 2023,98,67,0
12:57:33 AM Jun 08 2023,98,67,0
12:57:37 AM Jun 08 2023,98,67,0
12:57:41 AM Jun 08 2023,99,67,2
12:57:45 AM Jun 08 2023,99,67,7
12:57:49 AM Jun 08 2023,99,67,5
12:57:53 AM Jun 08 2023,99,67,8
12:57:57 AM Jun 08 2023,99,67,9
12:58:01 AM Jun 08 2023,99,67,10
12:58:05 AM Jun 08 2023,99,67,9
12:58:09 AM Jun 08 2023,99,67,0
12:58:13 AM Jun 08 2023,99,67,0
12:58:17 AM Jun 08 2023,99,66,0
12:58:21 AM Jun 08 2023,99,67,0
12:58:25 AM Jun 08 2023,99,64,0
12:58:29 AM Jun 08 2023,99,62,0
12:58:33 AM Jun 08 2023,99,63,0
12:58:37 AM Jun 08 2023,99,64,15
12:58:41 AM Jun 08 2023,99,64,71
12:58:45 AM Jun 08 2023,99,64,37
12:58:49 AM Jun 08 2023,99,64,7
12:58:53 AM Jun 08 2023,99,67,0
12:58:57 AM Jun 08 2023,99,75,0
12:59:01 AM Jun 08 2023,99,71,0
12:59:05 AM Jun 08 2023,99,67,0
12:59:09 AM Jun 08 2023,98,67,0
12:59:13 AM Jun 08 2023,98,67,0
12:59:17 AM Jun 08 2023,98,67,0
12:59:21 AM Jun 08 2023,98,67,0
12:59:25 AM Jun 08 2023,98,68,0
12:59:29 AM Jun 08 2023,98,68,0
12:59:33 AM Jun 08 2023,98,68,3
12:59:37 AM Jun 08 2023,97,72,0
12:59:41 AM Jun 08 2023,97,72,2
12:59:45 AM Jun 08 2023,97,72,1
12:59:49 AM Jun 08 2023,97,72,6
12:59:53 AM Jun 08 2023,97,72,0
12:59:57 AM Jun 08 2023,97,72,6
01:00:01 AM Jun 08 2023,97,72,1
01:00:05 AM Jun 08 2023,97,72,5
01:00:09 AM Jun 08 2023,97,72,13
01:00:13 AM Jun 08 2023,97,72,3
01:00:17 AM Jun 08 2023,99,72,0
01:00:21 AM Jun 08 2023,99,60,0
01:00:25 AM Jun 08 2023,99,60,0
01:00:29 AM Jun 08 2023,98,60,0
01:00:33 AM Jun 08 2023,98,61,0
01:00:37 AM Jun 08 2023,98,63,0
01:00:41 AM Jun 08 2023,98,64,0
01:00:45 AM Jun 08 2023,98,65,4
01:00:49 AM Jun 08 2023,99,66,0
01:00:53 AM Jun 08 2023,99,67,0
01:00:57 AM Jun 08 2023,99,66,0
01:01:01 AM Jun 08 2023,99,72,0
01:01:05 AM Jun 08 2023,99,73,0
01:01:09 AM Jun 08 2023,98,69,0
01:01:13 AM Jun 08 2023,99,64,0
01:01:17 AM Jun 08 2023,99,67,0
01:01:21 AM Jun 08 2023,99,66,0
01:01:25 AM Jun 08 2023,98,65,0
01:01:29 AM Jun 08 2023,98,65,0
01:01:33 AM Jun 08 2023,98,65,0
01:01:37 AM Jun 08 2023,99,66,0
01:01:41 AM Jun 08 2023,98,66,0
01:01:45 AM Jun 08 2023,98,67,0
01:01:49 AM Jun 08 2023,98,68,16
01:01:53 AM Jun 08 2023,98,68,0
01:01:57 AM Jun 08 2023,97,71,0
01:02:01 AM Jun 08 2023,97,74,0
01:02:05 AM Jun 08 2023,97,73,0
01:02:09 AM Jun 08 2023,98,71,16
01:02:13 AM Jun 08 2023,98,71,18
01:02:17 AM Jun 08 2023,98,71,22
01:02:21 AM Jun 08 2023,98,71,30
01:02:25 AM Jun 08 2023,98,71,32
01:02:29 AM Jun 08 2023,98,71,79
01:02:33 AM Jun 08 2023,98,71,59
01:02:37 AM Jun 08 2023,98,71,40
01:02:41 AM Jun 08 2023,98,71,9
