Time,Oxygen Level,Pulse Rate,Motion
03:42:34 Aug 01 2023,97,51,0
03:42:38 Aug 01 2023,97,51,0
03:42:42 Aug 01 2023,97,51,0
03:42:46 Aug 01 2023,97,50,0
03:42:50 Aug 01 2023,97,50,0
03:42:54 Aug 01 2023,97,51,0
03:42:58 Aug 01 2023,97,52,0
03:43:02 Aug 01 2023,97,53,0
03:43:06 Aug 01 2023,97,52,0
03:43:10 Aug 01 2023,97,51,0
03:43:14 Aug 01 2023,97,52,0
03:43:18 Aug 01 2023,97,54,0
03:43:22 Aug 01 2023,97,53,0
03:43:26 Aug 01 2023,97,53,0
03:43:30 Aug 01 2023,97,52,0
03:43:34 Aug 01 2023,97,53,0
03:43:38 Aug 01 2023,97,52,0
03:43:42 Aug 01 2023,97,52,1
03:43:46 Aug 01 2023,97,52,0
03:43:50 Aug 01 2023,97,52,0
03:43:54 Aug 01 2023,97,52,0
03:43:58 Aug 01 2023,97,52,0
03:44:02 Aug 01 2023,97,52,0
03:44:06 Aug 01 2023,97,52,0
03:44:10 Aug 01 2023,97,53,0
03:44:14 Aug 01 2023,97,52,0
03:44:18 Aug 01 2023,97,52,0
03:44:22 Aug 01 2023,97,52,0
03:44:26 Aug 01 2023,97,52,0
03:44:30 Aug 01 2023,97,52,0
03:44:34 Aug 01 2023,97,51,0
03:44:38 Aug 01 2023,97,50,0
03:44:42 Aug 01 2023,97,50,0
03:44:46 Aug 01 2023,97,49,0
03:44:50 Aug 01 2023,97,50,0
03:44:54 Aug 01 2023,97,51,0
03:44:58 Aug 01 2023,97,51,0
03:45:02 Aug 01 2023,97,52,0
03:45:06 Aug 01 2023,97,53,1
03:45:10 Aug 01 2023,97,52,1
03:45:14 Aug 01 2023,97,50,0
03:45:18 Aug 01 2023,97,50,0
03:45:22 Aug 01 2023,97,51,0
03:45:26 Aug 01 2023,97,51,0
03:45:30 Aug 01 2023,97,51,0
03:45:34 Aug 01 2023,97,51,0
03:45:38 Aug 01 2023,97,51,0
03:45:42 Aug 01 2023,97,52,1
03:45:46 Aug 01 2023,97,52,0
03:45:50 Aug 01 2023,97,51,0
03:45:54 Aug 01 2023,97,50,0
03:45:58 Aug 01 2023,97,50,0
03:46:02 Aug 01 2023,97,50,0
03:46:06 Aug 01 2023,97,52,0
03:46:10 Aug 01 2023,97,53,0
03:46:14 Aug 01 2023,97,53,0
03:46:18 Aug 01 2023,97,53,0
03:46:22 Aug 01 2023,97,51,0
03:46:26 Aug 01 2023,97,50,1
03:46:30 Aug 01 2023,97,51,0
03:46:34 Aug 01 2023,97,50,0
03:46:38 Aug 01 2023,97,52,1
03:46:42 Aug 01 2023,97,52,0
03:46:46 Aug 01 2023,97,52,0
03:46:50 Aug 01 2023,97,52,0
03:46:54 Aug 01 2023,97,51,0
03:46:58 Aug 01 2023,97,51,0
03:47:02 Aug 01 2023,97,52,0
03:47:06 Aug 01 2023,97,53,0
03:47:10 Aug 01 2023,97,54,0
03:47:14 Aug 01 2023,97,53,0
03:47:18 Aug 01 2023,97,52,0
03:47:22 Aug 01 2023,97,52,0
03:47:26 Aug 01 2023,97,52,0
03:47:30 Aug 01 2023,97,52,0
03:47:34 Aug 01 2023,97,51,0
03:47:38 Aug 01 2023,97,51,0
03:47:42 Aug 01 2023,97,51,0
03:47:46 Aug 01 2023,97,52,1
03:47:50 Aug 01 2023,97,52,0
03:47:54 Aug 01 2023,97,52,0
03:47:58 Aug 01 2023,97,51,0
03:48:02 Aug 01 2023,97,53,0
03:48:06 Aug 01 2023,97,53,0
03:48:10 Aug 01 2023,97,51,0
03:48:14 Aug 01 2023,97,50,0
03:48:18 Aug 01 2023,97,51,0
03:48:22 Aug 01 2023,97,51,0
03:48:26 Aug 01 2023,97,52,0
03:48:30 Aug 01 2023,97,51,0
03:48:34 Aug 01 2023,97,51,0
03:48:38 Aug 01 2023,97,51,0
03:48:42 Aug 01 2023,97,51,0
03:48:46 Aug 01 2023,97,52,0
03:48:50 Aug 01 2023,97,53,0
03:48:54 Aug 01 2023,97,52,0
03:48:58 Aug 01 2023,97,51,0
03:49:02 Aug 01 2023,97,51,1
03:49:06 Aug 01 2023,97,51,0
03:49:10 Aug 01 2023,97,52,0
03:49:14 Aug 01 2023,97,51,0
03:49:18 Aug 01 2023,97,51,0
03:49:22 Aug 01 2023,97,52,0
03:49:26 Aug 01 2023,97,54,0
03:49:30 Aug 01 2023,97,58,1
03:49:34 Aug 01 2023,97,57,0
03:49:38 Aug 01 2023,97,51,0
03:49:42 Aug 01 2023,97,50,0
03:49:46 Aug 01 2023,97,50,0
03:49:50 Aug 01 2023,97,50,0
03:49:54 Aug 01 2023,97,48,0
03:49:58 Aug 01 2023,97,49,0
03:50:02 Aug 01 2023,97,50,0
03:50:06 Aug 01 2023,97,53,0
03:50:10 Aug 01 2023,97,53,0
03:50:14 Aug 01 2023,97,52,0
03:50:18 Aug 01 2023,97,53,0
03:50:22 Aug 01 2023,97,52,0
03:50:26 Aug 01 2023,97,51,0
03:50:30 Aug 01 2023,97,50,0
